"date","USDPHP","BDO","ICT","SM","AAPL_PHP","MSFT_PHP","BTC_PHP","SPY_PHP"
2020-01-02,50.7,154,130,1039,3664.16505,7697.75565,354163.33914,15013.55271
2020-01-03,50.6036,155,135.5,1051,3621.64398804,7587.4531804,371677.58716348,14871.5377788
2020-01-06,51.067,155,135,1040,3683.9325264,7676.7284822,396750.7168864,15064.9794814
2020-01-07,51.165,155,132.5,1067,3673.6418835,7621.3286235,417695.321646,15051.4485255
2020-01-08,50.985,152,131.8,1055,3719.6055765,7715.4835725,411951.804858,15078.426264
2020-01-09,50.4434,152,134,1072,3758.2602953,7728.89234894,397447.14521442,15019.41137452
2020-01-10,50.65,153,132.5,1079,3782.18745,7724.64163,413635.97023,15037.52915
2020-01-14,50.48,154.7,135,1077,3798.034432,7736.408312,445625.557008,15067.11896
2020-01-15,50.55,153.2,131.5,1060,3787.0038,7797.30717,445194.390885,15122.11338
2020-01-16,50.766,155.1,132.1,1050,3850.8244704,7974.1049862,442871.7251526,15313.05624
2020-01-17,50.84,157.5,132.7,1055,3899.133128,8030.427116,453952.297004,15383.106192
2020-01-21,50.88,153.2,132.6,1026,3875.75856,8007.886176,444991.11216,15365.062944
2020-01-22,51,153.5,131.8,1025,3898.7664,7988.2116,442724.676,15403.1679
2020-01-23,50.985,157,132.5,1050,3916.3872825,8035.0167645,428606.197866,15416.293662
2020-01-24,50.975,156,132.5,1032,3904.33837,7952.4925075,430506.028735,15276.198195
2020-01-27,50.73,156,132.5,1025,3771.313857,7781.916051,451995.133089,14959.084845
2020-01-28,50.848,153.5,131.9,1015,3887.024512,7952.8661856,475865.5741504,15151.0056768
2020-01-29,50.713,154,132,1013,3957.8504433,8055.4253442,472474.2521187,15098.2997165
2020-01-30,50.83,154,131.5,995,3961.23273,8301.764003,483342.124356,15182.239878
2020-01-31,50.8388,148,130,971,3786.25521716,8180.65432768,475369.68897684,14909.14408828
2020-02-03,50.763,144.5,128,974.5,3770.2238493,8367.5952495,471767.0319045,14997.5019408
2020-02-04,50.86,150.7,127.4,983.5,3902.136866,8659.540578,466943.773094,15255.17727
2020-02-05,50.75,150.6,127.2,1000,3925.446525,8630.2608,487881.25785,15397.971225
2020-02-06,50.755,153,127.6,1000,3971.7563925,8810.063051,493836.090359,15451.3091215
2020-02-07,50.67,155.4,128,1000,3911.207166,8807.76342,496360.452078,15343.220556
2020-02-10,50.85,150,126,1000,3943.74294,9070.25688,501208.684605,15512.672205
2020-02-11,50.8,152,126,1000,3916.0958,8856.77172,518578.40404,15524.2768
2020-02-12,50.523,151,121.6,1002,3987.2347416,8821.3764276,521703.2616081,15539.1014427
2020-02-13,50.65,151.5,123.4,1010,3968.79218,8795.66627,517358.341935,15561.54392
2020-02-14,50.342,148.5,119,992,3945.629763,8820.2254862,519132.5537404,15491.6882838
